ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1185544
2,9.6,霸王别姬,869842
3,9.4,这个杀手不太冷,1092135
4,9.4,阿甘正传,934299
5,9.5,美丽人生,545973
6,9.3,泰坦尼克号,870704
7,9.3,千与千寻,864616
8,9.5,辛德勒的名单,491304
9,9.3,盗梦空间,953814
10,9.3,机器人总动员,631883
11,9.3,忠犬八公的故事,614910
12,9.2,三傻大闹宝莱坞,853356
13,9.2,海上钢琴师,713549
14,9.2,放牛班的春天,585780
15,9.2,大话西游之大圣娶亲,645417
16,9.2,楚门的世界,625321
17,9.2,教父,432704
18,9.1,龙猫,529616
19,9.2,星际穿越,642111
20,9.2,熔炉,361655
21,9.1,无间道,529558
22,9.2,触不可及,460406
23,9.0,当幸福来敲门,688643
24,9.2,乱世佳人,329599
25,9.0,怦然心动,739636
26,9.1,疯狂动物城,699141
27,9.1,天堂电影院,362303
28,9.1,蝙蝠侠：黑暗骑士,425055
29,9.1,活着,351954
30,9.4,十二怒汉,211509
31,9.0,少年派的奇幻漂流,709459
32,9.2,鬼子来了,293337
33,9.1,指环王3：王者无敌,351287
34,9.0,搏击俱乐部,466648
35,9.0,天空之城,408441
36,9.6,控方证人,141409
37,8.9,飞屋环游记,623327
38,8.9,大话西游之月光宝盒,518816
39,9.0,罗马假日,473847
40,9.1,窃听风暴,280045
41,9.1,摔跤吧！爸爸,626122
42,9.1,两杆大烟枪,320354
43,9.2,辩护人,276854
44,9.0,闻香识女人,401524
45,9.0,飞越疯人院,324255
46,8.9,哈尔的移动城堡,441715
47,9.0,死亡诗社,344700
48,8.8,V字仇杀队,520917
49,9.3,海豚湾,213302
50,9.1,教父2,233924
51,9.0,指环王2：双塔奇兵,329535
52,8.9,指环王1：魔戒再现,368947
53,8.9,美丽心灵,367922
54,9.1,饮食男女,252817
55,8.8,情书,450710
56,9.1,素媛,237506
57,8.9,狮子王,345961
58,9.1,美国往事,209411
59,9.1,钢琴家,242964
60,9.2,小鞋子,174865
61,8.8,七宗罪,508094
62,8.9,被嫌弃的松子的一生,363887
63,8.8,致命魔术,414441
64,8.7,天使爱美丽,566243
65,8.8,本杰明·巴顿奇事,471572
66,8.8,西西里的美丽传说,437311
67,8.9,黑客帝国,346463
68,8.7,让子弹飞,765922
69,8.9,拯救大兵瑞恩,295648
70,8.9,音乐之声,277149
71,8.7,看不见的客人,461395
72,9.0,末代皇帝,233303
73,8.8,低俗小说,405306
74,8.8,勇敢的心,339929
75,8.7,剪刀手爱德华,572840
76,8.8,沉默的羔羊,415152
77,9.3,大闹天宫,133155
78,8.7,蝴蝶效应,455824
79,8.8,春光乍泄,298789
80,8.8,入殓师,358621
81,8.8,心灵捕手,329863
82,8.8,哈利·波特与魔法石,336739
83,8.9,玛丽和马克思,260514
84,8.8,布达佩斯大饭店,395078
85,8.8,阳光灿烂的日子,324182
86,8.7,禁闭岛,435903
87,8.8,猫鼠游戏,295655
88,8.8,幽灵公主,277139
89,8.8,第六感,277438
90,8.7,重庆森林,394973
91,9.1,狩猎,162992
92,8.7,致命ID,381302
93,8.7,断背山,379125
94,8.9,穿条纹睡衣的男孩,190516
95,8.7,大鱼,296999
96,8.6,加勒比海盗,417746
97,8.6,阿凡达,629664
98,8.7,告白,401750
99,9.2,摩登时代,112677
100,9.0,一一,181247
101,8.8,甜蜜蜜,266422
102,8.7,射雕英雄传之东成西就,322660
103,8.8,阳光姐妹淘,318052
104,8.7,消失的爱人,429334
105,8.7,爱在黎明破晓前,264917
106,8.9,上帝之城,177389
107,8.8,侧耳倾听,205128
108,8.8,爱在日落黄昏时,234308
109,8.8,风之谷,205418
110,8.8,超脱,210718
111,8.9,小森林 夏秋篇,171787
112,8.6,喜剧之王,386195
113,8.6,倩女幽魂,314552
114,8.7,恐怖直播,277273
115,8.9,红辣椒,164794
116,8.8,菊次郎的夏天,225283
117,8.7,驯龙高手,340676
118,8.7,幸福终点站,262113
119,8.5,神偷奶爸,457594
120,8.7,借东西的小人阿莉埃蒂,253515
121,8.6,岁月神偷,346897
122,8.7,杀人回忆,244397
123,9.2,七武士,91441
124,8.7,萤火虫之墓,234040
125,8.6,怪兽电力公司,291650
126,8.7,谍影重重3,211790
127,8.8,喜宴,163857
128,9.0,小森林 冬春篇,148676
129,8.5,贫民窟的百万富翁,440370
130,8.7,电锯惊魂,229345
131,8.6,东邪西毒,297655
132,8.8,请以你的名字呼唤我,229963
133,8.6,记忆碎片,321500
134,8.5,真爱至上,356229
135,8.5,黑天鹅,476566
136,8.7,疯狂原始人,428617
137,8.7,哈利·波特与死亡圣器(下),324239
138,8.8,萤火之森,197012
139,8.7,7号房的礼物,213752
140,8.6,雨人,233630
141,8.6,英雄本色,210413
142,8.9,卢旺达饭店,140020
143,9.0,海洋,106875
144,8.7,心迷宫,219611
145,8.6,超能陆战队,445533
146,8.5,唐伯虎点秋香,409276
147,8.6,蝙蝠侠：黑暗骑士崛起,341768
148,8.8,荒蛮故事,176100
