yestoday_bargain,evaluate,company,online_address,reply_count,total_score,company_risk,yestoday_wait_pay,investment_horizon,tag_list,online_time,interest_rate,wait_pay_balance
16638.82万,还不错@老板牛@提现快,你我贷,注册地：上海|浦东,2235,3.6,正常,1391388.48万,14.73,"评级：,民营系,银行存管,加入协会",上线时间：2011-06-18,11.4% ,待还余额： 1393340.41万
-万,还不错@老板牛@无语,爱钱进,注册地：北京|东城,2256,3.1,正常,-万,6.72,"评级：,风投系,银行存管,加入协会,ICP认证",上线时间：2014-05-06,10.5% ,待还余额：-
-万,还不错@老板牛@还算透明,微贷网,注册地：浙江|杭州,3508,3.9,正常,-万,-,"评级：,上市参股,银行存管,加入协会,ICP认证",上线时间：2011-07-08,18.3% ,待还余额：-
16627.54万,还不错@老板牛@提现快,麻袋财富,注册地：上海|虹口,268,3.6,正常,1795181.34万,22.9,"评级：,国资参股,银行存管,加入协会",上线时间：2014-12-08,9.8% ,待还余额： 1797408.83万
-万,还不错@老板牛@无语,宜人贷,注册地：北京|朝阳,1934,3.4,正常,-万,2.24,"评级：,股权上市,银行存管,ICP认证",上线时间：2012-07-05,8.0% ,待还余额：-
17195.49万,还不错@老板牛@无语,团贷网,注册地：广东|东莞,3821,3.6,正常,1232169.65万,1.63,"评级：,风投系,银行存管,加入协会",上线时间：2012-07-15,9.6% ,待还余额： 1230848.03万
739.12万,还不错@老板牛@提现快,合众e贷,注册地：广东|深圳,456,4,正常,127389.16万,10.04,"评级：,上市参股,银行存管,加入协会",上线时间：2015-11-16,10.3% ,待还余额： 127251.83万
2294.1万,还不错@老板牛@提现快,网利宝,注册地：北京|朝阳,2063,4.4,正常,277268.03万,4.74,"评级：,上市参股,银行存管,ICP认证",上线时间：2014-08-21,11.0% ,待还余额： 278858.65万
-万,还不错@老板牛@无语,PPmoney网贷,注册地：广东|广州,1706,3,正常,-万,-,"评级：,风投系,银行存管,加入协会,ICP认证",上线时间：2012-12-12,9.8% ,待还余额：-
1415.44万,还不错@老板牛@提现快,向上金服,注册地：北京|东城,1053,3.8,正常,434106.26万,24.83,"评级：,民营系,银行存管,加入协会,ICP认证",上线时间：2013-08-16,11.6% ,待还余额： 433396.6万
-万,还不错@坑爹@无语,投哪网,注册地：广东|深圳,1127,2.8,正常,-万,-,"评级：,上市控股,银行存管,加入协会,ICP认证",上线时间：2012-05-04,12.8% ,待还余额：-
-万,还不错@老板牛@无语,人人贷,注册地：北京|海淀,1730,3.6,正常,-万,-,"评级：,风投系,银行存管,加入协会,ICP认证",上线时间：2010-10-13,12.2% ,待还余额：-
-万,还不错@老板牛@提现快,铜板街,注册地：浙江|杭州,217,3.9,正常,-万,-,"民营系,银行存管,加入协会",上线时间：2013-06-11,-,待还余额：-
215.06万,还不错@老板牛@提现快,达人贷,注册地：广东|深圳,212,3.7,正常,40382.28万,12.07,"评级：,风投系,银行存管,加入协会",上线时间：2013-12-27,14.1% ,待还余额： 40405.04万
2025.98万,还不错@老板牛@还算透明,博金贷,注册地：江西|南昌,142,3.9,正常,136845.06万,3.39,"评级：,国资参股,银行存管,加入协会,ICP认证",上线时间：2014-09-16,7.8% ,待还余额： 137128.05万
-万,还不错@无语@老板牛,新联在线,注册地：广东|广州,697,3.3,经侦介入,-万,4.08,"国资参股,银行存管,加入协会",上线时间：2013-07-31,11.8% ,待还余额：-
2695.88万,老板牛@还不错@坑爹,捞财宝,注册地：上海|浦东,87,3.1,正常,411743.6万,30.39,"评级：,民营系,银行存管,加入协会",上线时间：2015-07-28,11.1% ,待还余额： 409292.09万
-万,坑爹@无语@老板牛,信而富,注册地：上海|长宁,213,2.6,正常,-万,-,"股权上市,银行存管,加入协会",上线时间：2010-11-01,11.0% ,待还余额：-
968.91万,还不错@无语@老板牛,广信贷,注册地：北京|朝阳,1371,3.3,正常,346315.29万,35.06,"评级：,民营系,银行存管,加入协会,ICP认证",上线时间：2013-01-21,16.0% ,待还余额： 345912.48万
-万,还不错@老板牛@无语,新新贷,注册地：上海|虹口,364,3.5,正常,-万,7.86,"国资参股,银行存管,加入协会,ICP认证",上线时间：2012-02-21,11.3% ,待还余额：-
-万,还不错@坑爹@老板牛,拍拍贷,注册地：上海|浦东,1708,3.2,正常,-万,-,"评级：,股权上市,银行存管,加入协会,ICP认证",上线时间：2007-06-17,10.0% ,待还余额：-
1921.75万,还不错@老板牛@还算透明,E都市钱包,注册地：浙江|杭州,1776,4,正常,31642.22万,0.42,"评级：,民营系,银行存管,ICP认证",上线时间：2016-07-01,8.4% ,待还余额： 31488.28万
-万,还不错@老板牛@坑爹,玖富,注册地：北京|朝阳,351,3.1,正常,-万,-,"民营系,银行存管,加入协会,ICP认证",上线时间：2013-10-10,9.5% ,待还余额：-
-万,还不错@无语@坑爹,和信贷,注册地：北京|朝阳,2028,2.8,正常,-万,5.64,"评级：,股权上市,银行存管,加入协会,ICP认证",上线时间：2014-03-07,12.2% ,待还余额：-
3872.19万,还不错@老板牛@标难抢,翼龙贷,注册地：北京|海淀,612,3.3,正常,1319165.87万,7.98,"评级：,上市参股,银行存管,加入协会,ICP认证",上线时间：2011-04-01,9.0% ,待还余额： 1320450.06万
